1a,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z
1a,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z
1a,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z
2a,2a,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z
1a,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z
1a,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z
1a,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z
1a,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z
1a,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z
1a,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z
2a,2a,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z
1a,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z
1a,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z
1a,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z
1a,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z
1a,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z
1a,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z
1a,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z
1a,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z
21b,21b,21b,21b,21b,21b,21b,21b,21b,21b,21b,21b,21b,21b,21b,21b,21b,21b,21b,21b,21b,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z,-1z
